agency,user_bureau,application_name,year_activated,application_description,database_contents,status,confidentiality,method_of_access,pdf_page
"OFFICE OF THE DEPUTY MAYOR FOR PUBLIC SAFETY (formerly, the OFFICE OF THE COORDINATOR OF CRIMINAL JUSTICE)",,Dept. of Probation Family Court Services System,1979,Case tracking and management information data on juvenile delinquency and PINS (person in need of supervision) cases known to City Probation's Family Court Division.,"Children/confidential, juvenile delinquent, juvenile delinquent reports/statistics, inve.tigations/confidential, crimes, arrests, management reporting, manpower reports/statistics, petitions, probation client reports/statistics, probation clients, research/planning, crime/fire/public hazard statistics, other.",,"BYS Family Court Act, section 166.",,144
"OFFICE OF THE DEPUTY MAYOR FOR PUBLIC SAFETY (formerly, the OFFICE OF THE COORDINATOR OF CRIMINAL JUSTICE)",,corporation Counsel System for the Handicapped,,"This system is a case-related database consisting of cases of juveniles on whose behalf petitions have been filed in the Family court, seeking provision of services available to children with handicapping conditions as defined in the New York State Education Law, section 4401.","Handicapped children, claims against City, financial accounting, administrative reports, miscellaneous billings, child care, education programs, grants/specific funded programs, management reporting, contractor payments, other.",,"BYS Family Court Act, section 166.",,144
DEPARTMENT OF RECORDS AND INFORMATION SERVICES,,Records and Information Management system (RIMS),1986,"RIMS is an automated system to manage records for the city of New York including the records scheduling process, records disposals and statistics, and accessioning and retrieval from the records center.","Agency certification, retention schedule development, records accessioning, box expansion and box relocation, records requisition and refile, records destruction, statistics generation and reporting.",,,"Agency records center holdings in RIMS are available to the public, with permission from the agency having jurisdiction over the records.",146
DEPARTMENT OF SANITATION,,Private Carter system,1988,Corporate information on private carters; and the amount of refuse collected and dumped in City owned facilities.,Financial accounting.,,,,148
DEPARTMENT OF SANITATION,,sanitation Control and Analysis Network,(SCAN)/Kanpower Allocation and Reporting 1983,This system retains information regarding the assignment of department personnel to the various duty posts.,Employees and assignment posts.,,,,148
OFFICE OF THE CITY SHERIFF,,Sheriff's Case Tracking system (Case Tracking),1991,Case Tracking keeps track of all Private Sector cases. Maintains information on enforcement and collection activities for cases assigned to this division.,"Accounting - financial, payments - creditor/debtor - refunds, jUdgments, services, fees, poundage, processes - legal/civil, courts, bank information - account information, bank ­ creditor/debtor, auction sales, payments types, monthly accounts, deputy case information.",,,,150
OFFICE OF THE CITY SHERIFF,,Sheriff's Business Tracking system (Business Tracking),1991,Business Tracking keeps track of all Public Sector cases. Maintains information on enforcement and collection activities for cases assigned to this division.,"Debtor, creditor, jUdgments, services, fees, poundage, processes - legal/civil, payment types, monthly accounts, deputy case information.",,,,150
OFFICE OF THE CITY SHERIFF,,Scufflock Tow Program (Scoff tow),1990,This program keeps track of all vehicles towed by the Sheriff's Office for outstanding judgment summonses. It is updated with the total amount due for all summonses/violations as well as calculating all additional fees owed before the release of any vehicles.,"Case number, seizure information - date - time, deputy information - shield, PVB Login ID, tow information - date ­ tow company, plate number/vehicle ID/state/make/year, defendant/lienholder address, precinct, judgment amount, fees, purchaser address, PVB payments and payee information.",,,,150
TAXI AND LIMOUSINE COMMISSION,,Centralized Safety and Inspection,1989,"This system inspects medallion taxicabs a minimum of three (3) times per year. Three initial inspections and as many re-inspections as necessary to correct failed components, i.e. brakes, emission, alignment, etc.","Vehicle car make and model year, name and address of owner, results of inspection/re-inspection, items that pass, fail, advice given, notice to correct fault.",,,,152
TAXI AND LIMOUSINE COMMISSION,,complaint Tracking system,1984 - Revised 1989,This system tracks summonses issued to drivers or vehicles licensed by the Taxi and Limousine Commission from date of issue to adjudication.,"Name and TLC license number of driver or vehicle, summons number, state driver license number, vehicle identification number, time, date and place of violation, rule number(s) violated, time and place of adjudication hearing, name and number of hearing judge, disposition of summonses, fine amount and receipt number, (if any) for each summons.",,,,152
TAXI AND LIMOUSINE COMMISSION,,Driver on-line system and Reports,1984 - Revised 1989,"This system maintains all data on drivers licensed by the Taxi and Limousine Commission to operate yellow medallion cabs, for-hire vehicles, car services and limousines, para-transit ambulettes, as well as unlicensed drivers stopped while operating a vehicle.","Name and address, TLC driver number, state driver number, date of birth, social security number, height, weight, hair color, eye color, race, date license expires, telephone number and status of license.",,,,152
TAXI AND LIMOUSINE COMMISSION,,Vehicle On-line Inquiry,1984 - Revised 1989,"This system maintains data on all vehicles licensed by the Taxi and Limousine Commission, yellow medallion cabs, for-hire vehicles, para-transit ambulettes as well as those vehicles stopped while operating without a license or with a expired license.","Name and address of owner, TLC license number, telephone number, name and address of secretary if a corporation, insurance policy number, name and address of insurance carrier, license plate number, vehicle identification number, make and model year of vehicle, meter make and serial number if, a medallion cab, expiration date of license, status of license.",,,,153
DEP AR TMENT OF TELECOMMUNICATIONS AND ENERGY,,Cable Television Construction status,Unknown,Status of cable television construction.,"Cable television system construction statistics (updated quarterly), 'inclUding 'miles' of plant, homes passed, and subscribers.",,,,155
DEP AR TMENT OF TELECOMMUNICATIONS AND ENERGY,,Cable Television Consumer complaint Summary,Unknown,Number and type of consumer complaints received by the agency regarding cable television service.,"Consumer complaint statistics (updated monthly), including service, billing and other.",,,,155
DEPARTMENT OF TRANSPORTATION,,Management Oriented street Attributes Information Control System (MOSAICS ­ Geosupport),1985,"Management Oriented Street Attributes Information Control system is an on-line system which uses geosupport to track street related activities 'such as; street opening permits, sidewalk violations, street capital projects, street maintenance and repairs, ,and manhole, canopy, vault, and telephone mooth permits.","Borough, Location, Cross streets, type of permit, capital project, inspection district, maintenance district.",,,,157
DEPARTMENT OF TRANSPORTATION,,Pothole Identification,1985,Database contains monthly pothole identification and repair information. Information is limited to segment level summaries. A segment represents a geographical area of 1 to 1.5 miles.,"Borough, community hoard, location, survey date, repair date, repair hours, asphalt used.",,,,157
DEPARTMENT OF TRANSPORTATION,,Street Assessment,1989,contains vehicle maintenance history of cars owned by Bureau of Traffic,"License plate, ID number, make, model,mileage, persons or units assigned to the vehicle, maintenance history.",,,,157
DEPARTMENT OF TRANSPORTATION,,"Traffic Enf. Agent Issuance Rept. , Acct. Sys. (TIRAS)",1982,Maintains the timekeeping for TEA's and records ticket issuance by TEA.,"Name of TEA, Ticket issuance by TEA, timekeeping by TEA",,,,158
DEPARTMENT OF TRANSPORTATION,,Traffic Control Roster system,1989,Tracks Personnel assignments and transfers.,"Name of TEA, personnel assignments, transfers.",,,,158
DEPARTMENT OF TRANSPORTATION,,Motorist Information computerize Exchange,1989,"All incidents reported to the Communication Center are logged and tracked, such as accidents, water main breaks, police calls, traffic tie-ups, emergencies, and events.","All reported -incidents, location, type of accident, date, time.",,,,159
DEPARTMENT OF TRANSPORTATION,,Accident Records Library,1990,"Tracks fatalities by location. contains information such as date, precinct, time, location, vehicle(s), description of the accident.","Dates, precinct, time, location, vehicle(s), and description.",,,,159
DEPARTMENT OF TRANSPORTATION,,Transportation Agency Permits System (TAPS),1986,contains parking permit data for permits issued to City Agencies. It contains vehicle identification and the unit the permit is issued to.,Transportation licenses/permits.,,,,159
DEPARTMENT OF TRANSPORTATION,,parking Information Management (PIMS),1987,"Inventory of parking meters, when they are installed or removed and rates and hours by meter.","parking meters, management reporting.",,,,160
DEPARTMENT OF TRANSPORTATION,,Vehicle Traffic Control System (VTCS),1969,"Records traffic patterns in effect by time and place. Measurements at selected locations, including volume, speed of vehicles and lane occupancy.",Traffic information.,,,,160
DEPARTMENT OF TRANSPORTATION,,Preventative Signal Maintenance (PSM),1969,"Tracks preventative maintenance and performance of signals, all activity by private contractors. Painting, cleaning and lubrication of control switch mechanisms by location.","Service contractors, vendor payments.",,,,160
DEPARTMENT OF TRANSPORTATION,,special Vehicle Identification (SVI),1984,Tracks individual parking permit issuance.,"Transportation licenses/permits (parking), city planning licenses/permits (parking).",,,,160
DEPARTMENT OF TRANSPORTATION,,street Lighting (SL),1988,"Tracks contractors service by time and location, records street light complaints by time and location. Maintains street light inventory identifying types, also tracks traffic light complaints.","Service contractors, street light inventory, street light complaints, traffic light complaints.",,,,161
